序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,銷售金額,累計銷售票數,累計銷售金額
1,美國,凸搥特派員:三度出擊,2018/09/21,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,90,"118,928","27,438,382","197,662","45,603,449",
2,美國,惡魔島,2018/09/21,香港商甲上娛樂有限公司台灣分公司,"RED GRANITE INTERNATIONAL, INC",57,"79,142","18,633,953","122,839","28,890,370",
3,日本,一屍到底,2018/09/21,車庫娛樂股份有限公司,NIKKATSU CORPORATION,73,"75,423","17,225,686","86,777","19,826,196",
4,香港,黃金兄弟,2018/09/21,牽猴子整合行銷股份有限公司,耀萊文娛發展有限公司##影藝人娛樂製作有限公司##(大陸)北京耀暘信盈投資有限公司##(中華民國)寬魚國際股份有限公司,80,"34,962","8,017,311","58,249","13,395,270",
5,美國,血薄荷,2018/09/21,海樂影業股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT.,67,"36,153","7,943,570","60,532","13,299,467",
6,日本,電影版【空中急診英雄─海空災難最終救援─】,2018/09/21,英屬維京群島商高捷全球開發有限公司 台灣分公司,"PONY CANYON,INC",45,"18,881","4,473,977","34,160","8,129,692",
7,美國,極地之王,2018/09/21,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,52,"11,249","2,499,896","20,328","4,531,296",
8,日本,麵包超人電影版閃耀吧！庫倫與生命之星,2018/09/21,曼迪傳播有限公司,"TMS ENTERTAINMENT CO.,LTD.",16,"1,869","427,016","3,610","817,771",
9,日本,退而不休,2018/09/21,天馬行空數位有限公司,"TOEI COMPANY,LTD.",10,"1,879","398,278","3,089","656,902",
10,美國,盲點,2018/09/21,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,(英國)LIONS GATE INTERNATIONAL(UK) LIMITED,15,"1,304","296,053","2,530","576,319",
11,義大利,情遇那不勒斯,2018/09/21,海鵬影業有限公司,TRUE COLOURS GLORIOUS FILMS  S.R.L.,10,"1,381","279,929","2,424","491,114",
12,日本,睡著也好醒來也罷,2018/09/21,東昊影業有限公司,(法國)MK2,8,761,"168,380","1,209","267,958",
13,南韓,追擊者,2018/09/21,車庫娛樂股份有限公司,"FINECUT CO., LTD",5,636,"139,065","1,071","234,700",
14,泰國,明天，最後一天,2018/09/21,鏡象電影製作有限公司,(香港)ASIAN SHADOWS INTERNATIONAL SALES LIMITED,10,413,"92,756",904,"200,632",
15,義大利,活屍電梯,2018/09/21,暗光鳥有限公司,(德國)BETA CINEMA GMBH,4,92,"20,220",185,"40,405",
16,西班牙,鳥男孩,2018/09/21,本萃電影有限公司,LATIDO CONSORCIO DE EXPORTACION DEL CINE ESPANOL S.L.,2,38,"8,600",76,"17,000",
17,義大利,愛慾圓舞曲,2018/09/21,暗光鳥有限公司,(法國)WTFILMS,4,22,"5,290",72,"15,690",
18,美國,終極戰士：掠奪者,2018/09/14,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,93,"29,069","6,834,212","179,988","42,237,024",
19,美國,失蹤網紅,2018/09/14,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,(英國)LIONS GATE INTERNATIONAL(UK) LIMITED,66,"25,936","6,074,561","91,901","21,260,323",
20,美國,德魯大叔,2018/09/14,車庫娛樂股份有限公司,(英國)LIONS GATE INTERNATIONAL(UK) LIMITED,21,"2,877","691,994","17,652","4,192,981",
21,南韓,致命目擊,2018/09/14,采昌國際多媒體股份有限公司,(匈牙利)ATRIUM PRODUCTIONS KFT,38,"2,246","508,939","19,140","4,381,855",
22,德國,無聊的人生我死也不要,2018/09/14,安可電影股份有限公司,GLOBAL SCREEN GMBH,15,"2,007","454,455","10,698","2,470,127",
23,阿根廷,密謀,2018/09/14,本萃電影有限公司,(西班牙)LATIDO CONSORCIO DE EXPORTACION DEL CINE ESPANOL SL,15,"1,458","340,593","9,259","2,141,696",
24,中華民國,藍色項圈,2018/09/14,威視股份有限公司,中環國際娛樂事業股份有限公司##華文創股份有限公司##頑影映像有限公司,40,"1,190","278,716","10,920","2,476,569",
25,南韓,婚禮的那一天,2018/09/14,車庫娛樂股份有限公司,OPUS PICTURES,19,"1,179","272,589","8,484","1,975,669",
26,中華民國,搖滾樂殺人事件,2018/09/14,星泰國際娛樂股份有限公司,大吉祥整合行銷有限公司,14,"1,093","250,965","5,200","1,186,934",
27,美國,美國動物,2018/09/14,采昌國際多媒體股份有限公司,AMERICAN ANIMAL PICTURES LIMITED,11,417,"91,958","3,295","735,892",
28,日本,我很好,2018/09/14,捷傑有限公司,KINO FILMS,10,390,"88,994",779,"180,086",
29,法國,北極上學趣,2018/09/14,佳映娛樂國際股份有限公司,KINOLOGY,4,370,"80,499","1,830","406,015",
30,美國,裸愛殺機,2018/09/14,原創娛樂股份有限公司,"JENNINGS FILMS,LLC",4,337,"66,870","1,752","370,716",
31,英國,戲夢巴黎,2018/09/14,車庫娛樂股份有限公司,HANWAY FILMS LIMITED,7,294,"62,790","1,708","359,570",
32,日本,K SEVEN STORIES EPISODE 3「SIDE：GREEN～覆寫世界～」,2018/09/14,曼迪傳播有限公司,"KING RECORD CO., LTD.",5,110,"24,932",950,"218,853",
33,義大利,當我們困在一起,2018/09/14,捷傑有限公司,(法國)INDIE SALES COMPANY,5,81,"14,505",865,"181,306",
34,波蘭,B面人生,2018/09/14,可樂藝術文創股份有限公司,(法國)MOMENTO FILM,2,46,"9,025",508,"105,240",
35,西班牙,我的媽咪金搖擺,2018/09/14,牽猴子整合行銷股份有限公司,"FILM FACTORY ENTERTAINMENT, S.L.",1,7,"1,925",721,"160,738",
36,美國,利斧狂魔,2018/09/14,暗光鳥有限公司,MPI MEDIA GROUP,1,3,640,111,"23,990",
37,中華民國,山的那一邊,2018/09/07,內容物數位電影製作有限公司,內容物數位電影製作有限公司##華映娛樂股份有限公司##滿滿額娛樂有限公司,21,"1,500","340,864","23,864","5,299,696",
38,南韓,北風,2018/09/07,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,CJ E&M CORPORATION,7,427,"97,750","10,092","2,313,101",
39,美國,婚禮冤家,2018/09/07,香港商甲上娛樂有限公司台灣分公司,"JELLYFISH BLOOM INTERNATIONAL,LLC",5,370,"84,473","27,087","6,282,673",
40,美國,男孩愛最大,2018/09/07,威視股份有限公司,(英國)WESTEND FILMS LTD,1,100,"24,000","1,286","292,144",
41,美國,笑畫人生,2018/09/07,傳影互動股份有限公司,FILMNATION INTERNATIONAL LLC,2,91,"19,345","3,518","760,462",
42,法國,永遠的朋友：靈犬貝兒,2018/09/07,原創娛樂股份有限公司,GAUMONT S.A.,2,38,"8,025","1,847","412,354",
43,法國,與神同行的少年,2018/09/07,前景娛樂有限公司,LE PACTE,1,26,"5,700","1,111","239,515",
44,泰國,暹羅訣九神戰甲,2018/09/07,台北?喜電影發行股份有限公司,EXFORMAT FILMS,1,11,"2,680","2,719","610,636",
45,美國,鬼修女,2018/09/06,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,88,"24,041","5,679,391","469,665","111,132,655",
46,日本,銀魂2特別篇：世界奇妙銀魂醬,2018/09/01,車庫娛樂股份有限公司,AVEX PICTURES INC.,1,22,"5,640","2,069","481,686",
47,中華民國,粽邪,2018/08/31,華影國際影藝有限公司,緯來電視網股份有限公司##一起影業製作有限公司##華達星多媒體事業股份有限公司##志嘉建設股份有限公司##華影國際影藝有限公司##和合佰納媒體事業股份有限公司,54,"3,869","864,345","217,494","48,997,564",
