序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,銷售金額,累計銷售票數,累計銷售金額
1,美國,月光光新慌慌,2018/10/19,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,86,"44,173","10,106,503","89,778","20,505,378"
2,美國,怪物遊戲2：妖獸讚,2018/10/19,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,89,"16,658","3,684,258","40,824","9,024,593"
3,南韓,極智對決,2018/10/19,華聯國際影音股份有限公司,CJ E&M CORPORATION,50,"12,129","2,714,019","25,832","5,746,818"
4,美國,億萬男孩俱樂部,2018/10/19,香港商甲上娛樂有限公司台灣分公司,"BB CLUB,LLC",45,"9,854","2,314,587","21,924","5,184,237"
5,中華民國,紅盒子,2018/10/19,後場音像紀錄工作室有限公司,後場音像紀錄工作室有限公司,28,"9,294","2,047,202","17,736","3,881,894"
6,日本,檢方的罪人,2018/10/19,車庫娛樂股份有限公司,"TOHO CO., LTD.",44,"8,686","1,964,861","19,320","4,380,259"
7,中華民國,明日之星,2018/10/19,車庫娛樂股份有限公司,妹妹娃娃多媒體有限公司,8,"3,202","692,336","6,018","1,299,151"
8,中華民國,紅樓夢,2018/10/19,馬棋朵數位影像製作有限公司,馬棋朵數位影像製作有限公司,12,"2,552","581,614","4,873","1,111,806"
9,英國,快樂王子：王爾德,2018/10/19,捷傑有限公司,(德國)BETA CINEMA GMBH,11,848,"182,180","1,701","367,516"
10,法國,從前的我們,2018/10/19,海鵬影業有限公司,LE PACTE,9,818,"174,060","1,463","312,652"
11,美國,歡樂時光謀殺案,2018/10/19,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX PRODUCTIONS,LLC",29,728,"161,358","2,065","457,980"
12,英國,舞動人生,2018/10/19,東昊影業有限公司,(法國)STUDIOCANAL S.A.S,8,548,"113,794","1,204","256,329"
13,英國,凱撒大帝(英國國家劇院現場),2018/10/19,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,2,100,"66,680",176,"117,480"
14,英國,朱門巧婦(英國國家劇院現場),2018/10/19,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,3,67,"42,800",158,"100,360"
15,俄羅斯,太空漫步,2018/10/19,英屬維京群島商映畫聯合有限公司台灣分公司,"(美國)LEXICA PICTURES, LLC",1,146,"31,610",199,"42,950"
16,日本,請做我的主人,2018/10/19,車庫娛樂股份有限公司,KADOKAWA CORPORATION,3,137,"31,050",245,"54,400"
17,美國,機器戰犬,2018/10/12,傳影互動股份有限公司,LAKESHORE ENTERTAINMENT GROUP LLC,26,516,"112,854","8,906","1,971,595"
18,南韓,浴血圍城88天,2018/10/12,車庫娛樂股份有限公司,CONTENTS PANDA,7,268,"65,435","3,694","852,292"
19,英國,一週斃命：不死退費,2018/10/12,采昌國際多媒體股份有限公司,ALTITUDE FILM SALES LIMITED,18,270,"58,485","4,992","1,114,615"
20,日本,花之武者,2018/10/12,天馬行空數位有限公司,"SHOCHIKU CO., LTD.",7,264,"52,195","1,677","330,404"
21,法國,漢娜的失序人生,2018/10/12,鏡象電影製作有限公司,TF1 DROITS AUDIOVISUELS,6,163,"34,020","1,254","258,495"
22,日本,KSEVENSTORIESEPISODE4「LOSTSMALLWORLD～牢籠的彼端～」,2018/10/12,曼迪傳播有限公司,"KING RECORD CO., LTD.",7,98,"22,356","1,303","304,212"
23,義大利,大師之眼—從安東尼奧尼到伍迪艾倫,2018/10/12,佳映娛樂國際股份有限公司,ADRIANA CHIESA ENTERPRISES S.R.L.,2,19,"3,490",109,"21,060"
24,伊朗,豬,2018/10/12,聯影企業股份有限公司,(法國)FILMS BOUTIQUE SAS,2,3,580,233,"47,263"
25,美國,滴答屋,2018/10/10,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,84,"9,711","2,250,921","106,260","24,473,385"
26,美國,一個巨星的誕生,2018/10/09,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,97,"147,518","34,826,052","492,954","115,916,510"
27,香港,無雙,2018/10/05,台北双喜電影發行股份有限公司,(香港)博納影視娛樂有限公司##(香港)英皇影業有限公司##(大陸)上海博納文化傳媒有限公司##(大陸)上海阿里巴巴影業有限公司##(大陸)華夏電影發行有限責任公司##(大陸)博納影業集團股份有限公司##(大陸)双喜電影發行(北京)有限公司,77,"22,013","5,115,666","186,837","42,711,768"
28,日本,在咖啡冷掉之前,2018/10/05,英屬維京群島商高捷全球開發有限公司 台灣分公司,"TOKYO BROADCASTING SYSTEM TELEVISION, INC.",33,"3,798","885,419","49,417","11,406,563"
29,日本,電影版吹響吧！上低音號~莉茲與青鳥~,2018/10/05,車庫娛樂股份有限公司,(美國)PONYCANYON USA INC.,7,725,"184,117","10,471","2,598,582"
30,南韓,鬼神拍檔,2018/10/05,車庫娛樂股份有限公司,CJ E&M CORPORATION,11,223,"49,734","10,439","2,345,994"
31,美國,戮營謎,2018/10/05,暗光鳥有限公司,(英國)JINGA FILMS LIMITED,1,102,"21,420",249,"55,020"
32,美國,猛毒,2018/10/03,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,93,"57,237","13,406,339","1,150,239","268,653,952"
33,美國,小腳怪,2018/09/28,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,35,"2,232","513,802","93,549","21,222,215"
34,美國,人肉搜索,2018/09/28,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,20,"1,338","318,079","58,355","13,550,100"
35,馬來西亞,李宗偉：敗者為王,2018/09/28,星泰國際娛樂股份有限公司,志博影業有限公司##馬虎電影有限公司,10,509,"107,405","15,618","3,440,440"
36,美國,判決,2018/09/28,傳影互動股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT,5,301,"62,945","15,488","3,486,070"
37,香港,阿飛正傳,2018/09/28,華映娛樂股份有限公司,(英屬維京群島)EAST ASIA FILMS DISTRIBUTION LIMITED##(香港)ESUN.COM LIMITED,1,201,"46,175","6,010","1,389,595"
38,日本,陪睡大人,2018/09/28,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"TOHO CO.,LTD",2,74,"16,060","7,489","1,649,638"
39,俄羅斯,厲可拍,2018/09/28,威視股份有限公司,DECOMPIS TRADING LIMITED,1,6,"1,500","14,479","3,326,711"
40,南韓,物怪,2018/09/28,車庫娛樂股份有限公司,"FINECUT CO., LTD.",1,6,"1,350","4,314","954,493"
41,芬蘭,重金屬之旅,2018/09/28,聯影企業股份有限公司,(丹麥)LEVELKAPS,1,3,580,816,"180,805"
42,日本,一屍到底,2018/09/21,車庫娛樂股份有限公司,NIKKATSU CORPORATION,49,"8,067","1,910,681","223,307","51,395,104"
43,美國,凸搥特派員:三度出擊,2018/09/21,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,26,849,"198,545","252,866","58,394,477"
44,美國,惡魔島,2018/09/21,香港商甲上娛樂有限公司台灣分公司,"RED GRANITE INTERNATIONAL,INC",19,474,"110,204","164,372","38,666,269"
45,日本,麵包超人電影版閃耀吧！庫倫與生命之星,2018/09/21,曼迪傳播有限公司,"TMS ENTERTAINMENT CO.,LTD.",3,121,"26,940","4,444","1,005,829"
46,日本,退而不休,2018/09/21,天馬行空數位有限公司,"TOEI COMPANY,LTD.",1,82,"16,400","4,066","853,197"
47,日本,電影版【空中急診英雄─海空災難最終救援─】,2018/09/21,英屬維京群島商高捷全球開發有限公司 台灣分公司,"PONY CANYON,INC",2,61,"14,186","40,943","9,715,256"
48,香港,黃金兄弟,2018/09/21,牽猴子整合行銷股份有限公司,耀萊文娛發展有限公司##影藝人娛樂製作有限公司##(大陸)北京耀暘信盈投資有限公司##(中華民國)寬魚國際股份有限公司,4,55,"12,660","67,941","15,610,161"
49,美國,血薄荷,2018/09/21,海樂影業股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT.,1,9,"2,160","67,742","14,885,250"
50,西班牙,鳥男孩,2018/09/21,本萃電影有限公司,LATIDO CONSORCIO DE EXPORTACION DEL CINE ESPANOL S.L.,1,9,"2,020",91,"20,350"
51,美國,失蹤網紅,2018/09/14,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,(英國)LIONS GATE INTERNATIONAL(UK) LIMITED,5,71,"18,095","100,844","23,435,816"
52,美國,美國動物,2018/09/14,采昌國際多媒體股份有限公司,AMERICAN ANIMAL PICTURES LIMITED,2,160,"12,930","3,657","773,742"
53,義大利,當我們困在一起,2018/09/14,捷傑有限公司,(法國)INDIE SALES COMPANY,1,38,"6,080",944,"193,716"
54,阿根廷,密謀,2018/09/14,本萃電影有限公司,(西班牙)LATIDO CONSORCIO DE EXPORTACION DEL CINE ESPANOL SL,1,46,"4,600","9,531","2,193,351"
55,中華民國,搖滾樂殺人事件,2018/09/14,星泰國際娛樂股份有限公司,大吉祥整合行銷有限公司,1,0,0,"5,809","1,320,884"
56,美國,婚禮冤家,2018/09/07,香港商甲上娛樂有限公司台灣分公司,"JELLYFISH BLOOM INTERNATIONAL,LLC",1,60,"6,000","27,184","6,296,663"
57,美國,鬼修女,2018/09/06,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,2,53,"13,548","475,092","112,424,247"
