排序,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,中華民國,人面魚紅衣小女孩外傳,2018/11/23,威視股份有限公司,中環國際娛樂事業股份有限公司##講故事有限公司##大慕影藝國際事業有限公司##華映娛樂股份有限公司##秀泰國際娛樂有限公司##國賓影城股份有限公司##樂到家國際娛樂股份有限公司##華研國際音樂股份有限公司##紅衣小女孩股份有限公司,93,"131,809",17.76%,"29,320,350","243,737","54,210,294"
2,挪威,芮氏9.6,2018/11/23,車庫娛樂股份有限公司,(丹麥) TRUSTNORDISK APS,46,"21,931",-8.29%,"4,872,746","45,845","10,257,628"
3,日本,電影版七大罪天空的囚人,2018/11/23,車庫娛樂股份有限公司,(香港)MEDIALINK ENTERTAINMENT LIMITED,10,"2,639",-15.36%,"631,683","5,757","1,392,163"
4,美國,壞事大飯店,2018/11/23,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,8,"1,820",8.59%,"409,838","3,496","797,932"
5,德國,賣場華爾滋,2018/11/23,前景娛樂有限公司,BETA CINEMA GMBH,11,"1,098",56.86%,"230,892","1,851","389,393"
6,日本,龐克武士,2018/11/23,天馬行空數位有限公司,AVEX PICTURES INC.,11,444,-17.32%,"94,245",981,"209,668"
7,美國,時間之旅,2018/11/23,車庫娛樂股份有限公司,(法國)WILD BUNCH,4,179,34.59%,"39,955",312,"67,525"
8,香港,非同凡響,2018/11/23,香港商甲上娛樂有限公司台灣分公司,AR CHARITABLE FOUNDATION LIMITED##THE HONG KONG COUNCIL OF SOCIAL SERVICE##GOLDEN SCENE COMPANY LIMITED,7,95,28.38%,"20,250",169,"36,365"
9,中華民國,比悲傷更悲傷的故事,2018/11/18,好好看文創有限公司,滿滿額娛樂股份有限公司##好好看文創有限公司##百聿數碼創意股份有限公司##神州音樂有限公司##崴森管理顧問股份有限公司##(大陸)上海唯喜影業有限公司##(香港)福斯傳媒有限公司,88,"139,626",0.00%,"32,088,616","139,750","32,114,656"
10,中華民國,有五個姊姊的我就註定要單身了啊！,2018/11/16,華聯國際影音股份有限公司,(大陸)珠海漢都影視投資有限公司##(大陸)北京嘉映文化傳媒有限公司##(大陸)北京萌樣影視製作有限公司##(大陸)喀什嘉映文化傳媒有限公司##(中華民國)群星瑞智國際娛樂股份有限公司##(中華民國)華聯國際影音股份有限公司##(中華民國)中國信託創業投資股份有限公司##(香港)安樂影片有限公司##(新加坡)MM2 ENTERTAINMENT PTE LTD,58,"1,598",-79.52%,"349,290","19,200","4,237,653"
11,法國,師聲對決,2018/11/16,鴻聯國際開發股份有限公司,PATHE FILMS,10,"1,061",-41.74%,"227,585","4,279","935,371"
