序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,本周票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,美國,班恩回家,2018/12/21,采昌國際多媒體股份有限公司,FREEWAY ENTERAINMENT KFT.,57,"7,586",7.19%,"1,705,773","14,663","3,346,815"
2,日本,人魚沉睡的家,2018/12/21,車庫娛樂股份有限公司,"SHOCHIKU CO., LTD.",15,"1,840",27.51%,"404,584","3,283","726,466"
3,日本,魔法少女奈葉Detonation,2018/12/21,向洋影業有限公司,ODEX PRIVATE LIMITED,10,"1,619",-35.73%,"386,177","4,138","987,201"
4,日本,古書堂事件手帖,2018/12/21,英屬維京群島商高捷全球開發有限公司 台灣分公司,KADOKAWA CORPORATION.,18,988,-19.02%,"217,150","2,208","489,319"
5,法國,尖峰人生暫停一下,2018/12/21,安可電影股份有限公司,GAUMONT S.A.,6,"1,017",57.43%,"209,935","1,663","343,355"
6,法國,舊愛來找碴,2018/12/21,天馬行空數位有限公司,MK2 FILMS,9,640,5.26%,"137,235","1,248","272,144"
7,美國,滑板少女,2018/12/21,鏡象電影製作有限公司,(法國)CHARADES,7,240,30.43%,"55,280",424,"98,735"
8,法國,企鵝寶貝2：極地的呼喚,2018/12/21,車庫娛樂股份有限公司,WILD BUNCH,6,86,-43.42%,"19,410",238,"52,771"
9,英國,安娜與世界末日,2018/12/21,暗光鳥有限公司,THE SALT COMPANY (INTERNATIONAL) LTD,4,68,-40.35%,"15,025",182,"39,750"
10,美國,羅賓漢崛起,2018/12/20,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,(英國)LIONS GATE INTERNATIONAL(UK) LIMITED,72,"56,462",-16.91%,"13,086,993","124,411","28,763,095"
11,中國大陸,影,2018/12/20,傳影互動股份有限公司, 樂視影業有限公司##上海騰訊影業文化傳播有限公司##完美威秀娛樂有限公司##博納影業集團股份有限公司（聯合出品）##香港騰訊影業有限公司（聯合出品）##天津貓眼微影文化傳媒有限公司（聯合出品）##浙江博地影視有限公司（聯合出品）##瑞麗市振東盛銘投資有限公司（聯合出品）,41,"3,966",-33.81%,"883,660","9,958","2,220,359"
12,香港,霸王別姬,2018/12/14,能率影業股份有限公司,湯臣(香港)電影有限公司,25,"10,970",-34.24%,"2,596,767","36,478","8,675,388"
13,日本,電影版我的英雄學院二人的英雄,2018/12/14,車庫娛樂股份有限公司,MEDIALINK ENTERTAINMENT LIMITED,18,"3,400",-54.39%,"823,678","19,711","4,747,282"
14,中華民國,後勁：王建民,2018/12/14,牽猴子整合行銷股份有限公司,"藝博思國際有限公司##牽猴子整合行銷股份有限公司##WYC MOTIONS,LLC",28,"3,413",-60.82%,"783,809","20,405","4,748,234"
15,德國,奇蹟熱氣球,2018/12/14,采昌國際多媒體股份有限公司,STUDIOCANAL,5,288,-57.77%,"60,765","1,827","385,017"
16,法國,野放動物,2018/12/14,海鵬影業有限公司,PYRAMIDE INTERNATIONAL,8,271,-71.74%,"58,630","2,120","456,815"
17,英國,WESTWOOD：龐克時尚教母,2018/12/14,佳映娛樂國際股份有限公司,DOGWOOF LTD.,2,70,-71.54%,"14,615",474,"102,325"
18,法國,影像之書,2018/12/14,車庫娛樂股份有限公司,WILD BUNCH,1,2,-99.05%,550,421,"89,847"
19,美國,蜘蛛人：新宇宙,2018/12/13,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,90,"26,868",-38.42%,"6,399,308","134,615","30,939,219"
20,美國,水行俠,2018/12/12,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,97,"337,480",-33.68%,"80,400,042","1,462,244","354,577,019"
21,日本,POKE'MON THE MOVIE 劇場版精靈寶可夢我們的故事,2018/12/07,曼迪傳播有限公司,THE POKÉMON COMPANY,30,"1,919",-57.73%,"445,444","40,774","9,483,655"
22,日本,夏目友人帳劇場版緣結空蟬,2018/12/07,木棉花國際股份有限公司,ANIPLEX INC.,17,"1,064",-63.29%,"250,681","22,532","5,244,757"
23,美國,寡婦,2018/12/07,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,20,668,-81.00%,"151,300","40,089","9,199,513"
24,美國,美麗男孩,2018/12/07,傳影互動股份有限公司,FILMNATION INTERNATIONAL LLC,1,93,-70.66%,"20,925","3,725","824,865"
25,日本,K SEVEN STORIES Episode6「CircleVision～NamelessSong～」,2018/12/07,曼迪傳播有限公司,"KING RECORD CO., LTD.",4,44,-30.16%,"10,610","1,029","238,834"
26,法國,聖草之愛,2018/12/07,亮點國際影業有限公司,ELLE DRIVER,1,28,-84.86%,"6,470","1,033","212,750"
27,日本,SUNNY我們的青春,2018/12/07,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"TOHO CO., LTD.",2,22,-88.36%,"4,920","3,032","686,831"
28,南韓,夜半鬼哭聲,2018/12/07,車庫娛樂股份有限公司,CONTENTS PANDA,3,21,-86.88%,"4,420","2,933","646,773"
29,印度,廁所愛情故事,2018/12/07,車庫娛樂股份有限公司,(英國)RELIANCE BIG ENTERTAINMENT (UK) PRIVATE LIMITED,3,18,-88.00%,"4,320","1,779","355,990"
30,日本,愛的奴隸,2018/12/07,車庫娛樂股份有限公司,KADOKAWA CORPORATION,1,2,-90.00%,400,320,"71,000"
31,美國,移動城市：致命引擎,2018/12/06,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,80,"9,838",-68.68%,"2,303,653","258,183","60,543,485"
32,英國,一個美國人在巴黎,2018/12/04,威秀影城股份有限公司,TRAFALGAR RELEASING LIMITED,4,205,0.00%,"95,325",332,"155,600"
33,法國,全面開戰,2018/12/02,佳映娛樂國際股份有限公司,MK2 Films,2,265,0.00%,"56,520",547,"120,111"
34,南韓,分秒幣爭,2018/11/30,華映娛樂股份有限公司,"CJ ENM CO., LTD",13,"1,166",-51.48%,"259,658","20,822","4,667,628"
35,中華民國,幸福定格,2018/11/30,視納華仁文化傳播股份有限公司,視納華仁文化傳播股份有限公司##七日印象電影有限公司,7,834,-45.63%,"190,095","10,918","2,490,853"
36,日本,世界最長的照片,2018/11/30,中影股份有限公司,"NAGOYA BROADCASTING NETWORK CO.,LTD.",1,303,0.00%,"64,305","2,561","539,819"
37,丹麥,傑克蓋的房子,2018/11/30,車庫娛樂股份有限公司,TRUSTNORDISK APS,3,144,-61.60%,"32,500","5,629","1,284,524"
38,南韓,非賣品,2018/11/30,車庫娛樂股份有限公司,SHOWBOX CORP.,9,102,-90.38%,"23,380","36,815","8,380,809"
39,法國,愛情賭徒,2018/11/30,鏡象電影製作有限公司,PLAYTIME,1,31,-18.42%,"6,225",757,"166,105"
40,挪威,不可能的逃亡,2018/11/30,海鵬影業有限公司,TRUSTNORDISK APS,1,5,-92.86%,"1,140","3,204","691,299"
41,美國,金牌拳手：父仇,2018/11/30,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,2,4,-99.25%,"1,030","50,095","11,493,428"
42,美國,無敵破壞王2：網路大暴走,2018/11/29,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",89,"24,798",-34.92%,"5,870,648","553,869","128,345,395"
43,中華民國,人面魚紅衣小女孩外傳,2018/11/23,威視股份有限公司,中環國際娛樂事業股份有限公司##講故事有限公司##大慕影藝國際事業有限公司##華映娛樂股份有限公司##秀泰國際娛樂有限公司##國賓影城股份有限公司##樂到家國際娛樂股份有限公司##華研國際音樂股份有限公司##紅衣小女孩股份有限公司,42,"1,661",-73.38%,"387,804","325,491","72,768,212"
44,挪威,芮氏9.6,2018/11/23,車庫娛樂股份有限公司,(丹麥)TRUSTNORDISK APS,1,64,220.00%,"6,400","50,649","11,317,011"
45,日本,電影版七大罪天空的囚人,2018/11/23,車庫娛樂股份有限公司,(香港)MEDIALINK ENTERTAINMENT LIMITED,1,7,-30.00%,"1,520","6,651","1,606,196"
46,中華民國,比悲傷更悲傷的故事,2018/11/18,好好看文創有限公司,滿滿額娛樂股份有限公司##好好看文創有限公司##百聿數碼創意股份有限公司##神州音樂有限公司##崴森管理顧問股份有限公司##(大陸)上海唯喜影業有限公司##(香港)福斯傳媒有限公司,93,"65,188",-41.43%,"15,126,154","962,023","221,778,320"
47,法國,師聲對決,2018/11/16,鴻聯國際開發股份有限公司,PATHE FILMS,1,234,82.81%,"11,700","5,309","1,099,496"
48,比利時,劫局,2018/11/16,原創娛樂股份有限公司,BE FOR FILMS,1,56,51.35%,"5,600","2,007","420,506"
49,美國,怪獸與葛林戴華德的罪行,2018/11/15,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,28,"1,937",-69.33%,"473,250","1,047,872","253,739,546"
50,美國,蜘蛛網中的女孩,2018/11/09,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,3,348,0.00%,"43,355","53,798","11,998,862"
51,美國,鬼靈精,2018/11/09,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,2,162,-36.72%,"33,980","73,243","16,570,288"
52,中華民國,誰先愛上他的,2018/11/02,親愛的工作室有限公司,海納百川娛樂有限公司##原點概念有限公司##親愛的工作室有限公司,9,921,-33.50%,"217,099","284,427","65,587,255"
53,美國,波希米亞狂想曲,2018/11/02,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,5,351,-70.80%,"87,180","138,036","33,028,438"
54,印度,護墊俠,2018/11/02,車庫娛樂股份有限公司,SPE FILMS INDIA PVT. LTD.,1,34,0.00%,"5,440","4,938","1,081,795"
55,南韓,親密陌生人,2018/11/02,采昌國際多媒體股份有限公司,(匈牙利)FREEWAY ENTERTAINMENT KFT.,1,15,0.00%,"1,800","8,999","2,055,371"
56,日本,大聲點笨蛋！完全不知道你在唱什麼,2018/10/28,天馬行空數位有限公司,"ASMIK ACE,INC.",3,37,-84.84%,"8,540",804,"181,270"
57,中華民國,疾風魅影-黑貓中隊,2018/10/26,寬和影像事業有限公司,寬和影像事業有限公司,1,63,-86.60%,"3,150","16,245","3,504,038"
58,中華民國,哈囉！有事嗎,2018/10/23,美商廿世紀福斯影片股份有限公司台灣分公司,一起影業製作有限公司##香港商福斯傳媒有限公司台灣分公司,2,83,-3.49%,"4,400","5,523","1,191,087"
59,中華民國,魔法阿媽,2018/10/22,高雄市電影館,稻田電影工作室有限公司,1,7,0.00%,"1,120",23,"3,150"
60,美國,怪物遊戲2：妖獸讚,2018/10/19,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,9,"1,020",325.00%,"87,600","48,536","10,592,927"
61,南韓,極智對決,2018/10/19,華聯國際影音股份有限公司,CJ E&M CORPORATION,4,374,142.86%,"29,075","32,332","7,159,142"
62,美國,億萬男孩俱樂部,2018/10/19,香港商甲上娛樂有限公司台灣分公司,"BB CLUB,LLC",2,111,65.67%,"16,300","25,508","6,006,098"
63,日本,檢方的罪人,2018/10/19,車庫娛樂股份有限公司,"TOHO CO., LTD.",1,96,50.00%,"14,120","22,846","5,178,753"
64,英國,一週斃命：不死退費,2018/10/12,采昌國際多媒體股份有限公司,ALTITUDE FILM SALES LIMITED,4,157,40.18%,"22,840","5,358","1,166,745"
65,美國,滴答屋,2018/10/10,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,12,"1,819",172.71%,"159,455","112,210","25,496,881"
66,美國,一個巨星的誕生,2018/10/09,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,3,404,"2,144.44%","33,400","686,390","161,726,803"
67,日本,在咖啡冷掉之前,2018/10/05,英屬維京群島商高捷全球開發有限公司 台灣分公司,"TOKYO BROADCASTING SYSTEM TELEVISION, INC.",8,761,0.00%,"63,175","52,932","12,110,311"
68,美國,兩個爸爸,2018/10/05,香港商甲上娛樂有限公司台灣分公司,FORTITUDE INTERNATIONAL INC.,1,30,0.00%,"4,800","2,894","647,354"
69,美國,猛毒,2018/10/03,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,4,429,0.00%,"38,840","1,189,957","277,934,438"
70,美國,人肉搜索,2018/09/28,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,11,"1,803",5.19%,"136,785","62,876","14,010,598"
71,美國,小腳怪,2018/09/28,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,7,817,-24.77%,"55,415","98,505","21,910,345"
72,中國大陸,塑料王國,2018/09/28,視納華仁文化傳播股份有限公司,（香港）CNEX FOUNDATION LIMITED##（大陸）北京泰岳文化傳播有限責任公司（BEIJING TYC MEDIA）,1,175,243.14%,"33,250","3,639","775,912"
73,日本,陪睡大人,2018/09/28,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"TOHO CO.,LTD",1,64,113.33%,"9,780","7,583","1,664,078"
74,美國,判決,2018/09/28,傳影互動股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT,1,55,-71.35%,"5,500","16,259","3,628,215"
75,香港,歐洲攻略,2018/09/28,華映娛樂股份有限公司,（英屬維京群島）春光映画(BLOCK 2 PICTURES INC.)##（英屬維京群島）見天地電影工作室有限公司(MASTER CHINA FILMS LTD.)##（大陸）上海銀潤傳媒廣告有限公司##（大陸）西藏恆信天地影視有限公司##（大陸）浙江天意影視有限公司##（香港）美亞電影製作有限公司,1,45,-65.12%,"2,475","8,960","1,792,877"
76,英國,胡桃鉗,2018/09/27,威秀影城股份有限公司,ROYAL OPERA HOUSE,2,119,0.00%,"84,280",293,"199,560"
77,日本,一屍到底,2018/09/21,車庫娛樂股份有限公司,NIKKATSU CORPORATION,7,"1,286",1.50%,"101,740","233,699","53,294,800"
78,美國,凸搥特派員:三度出擊,2018/09/21,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,8,767,-59.07%,"51,585","258,525","58,877,010"
79,美國,惡魔島,2018/09/21,香港商甲上娛樂有限公司台灣分公司,"RED GRANITE INTERNATIONAL,INC",2,389,-44.35%,"31,250","170,413","39,206,994"
80,香港,黃金兄弟,2018/09/21,牽猴子整合行銷股份有限公司,耀萊文娛發展有限公司##影藝人娛樂製作有限公司##(大陸)北京耀暘信盈投資有限公司##(中華民國)寬魚國際股份有限公司,3,280,1.45%,"30,500","70,050","15,790,941"
81,美國,極地之王,2018/09/21,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,2,214,-2.28%,"17,130","23,987","4,986,331"
82,美國,血薄荷,2018/09/21,海樂影業股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT.,2,263,10.97%,"16,830","71,009","15,132,300"
