序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,本周票數變動,銷售金額,累計銷售票數,累計銷售金額
1,"美國／
黎巴嫩",我想有個家,2019/02/08,海鵬影業有限公司,WILD BUNCH,11,"5,125",32.91%,"1,104,242","8,981","1,935,967"
2,美國,艾莉塔：戰鬥天使,2019/02/05,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,99,"264,925",-52.87%,"66,775,527","827,011","209,920,582"
3,香港,廉政風雲煙幕,2019/02/05,華映娛樂股份有限公司,"英皇影業有限公司	##北京合瑞影業文化有限公司##銀都機構有限公司##耳東影業（北京）有限公司##北京金逸嘉逸電影發行有限公司##萬達影視傳媒有限公司##天津貓眼微影文化傳媒有限公司##大地時代文化傳播(北京)有限公司##北京耀影電影發行有限公司##浙江橫店影業有限公司##北京文心優品投資基金(有限合夥)",60,"8,950",-72.18%,"2,053,989","41,122","9,516,370"
4,中國大陸,神探蒲松齡,2019/02/05,龍祥育樂多媒體股份有限公司,北京耀萊影視文化傳媒有限公司##愛奇藝影業（北京）有限公司##金海岸影視基地有限公司,53,"4,198",-81.92%,"939,128","27,419","6,265,689"
5,加拿大,哈柏太空之旅3D,2019/02/04,國際電影事業有限公司,IMAX Corporation,1,40,-54.55%,"5,710",152,"22,700"
6,加拿大,深海獵奇3D,2019/02/03,國際電影事業有限公司,IMAX Corporation,1,35,-18.60%,"5,655",112,"15,815"
7,美國,愛‧滿人間,2019/02/01,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",88,"12,066",-71.04%,"2,782,534","69,153","16,109,025"
8,中華民國,大三元,2019/02/01,好孩子國際娛樂有限公司,好孩子國際娛樂有限公司##田秦文創娛樂有限公司##幸福本色國際文創股份有限公司,90,"10,911",-84.85%,"2,403,690","102,122","22,896,579"
9,美國,福爾摩濕與滑生,2019/02/01,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,72,"2,862",-77.97%,"646,061","23,926","5,467,826"
10,中華民國,瘋狂電視台瘋電影,2019/02/01,瘋狂秀股份有限公司,華文創股份有限公司##全民大劇團股份有限公司##瘋狂秀股份有限公司##傳誠旺旺投資有限公司##安佳企業管理顧問有限公司##宏麗數位創意股份有限公司##智仁科技開發股份有限公司##中環國際娛樂事業股份有限公司##中國信託創業投資股份有限公司,91,"2,676",-82.69%,"593,348","26,912","6,066,367"
11,南韓,飆風特警隊,2019/02/01,車庫娛樂股份有限公司,SHOWBOX CORP.,41,"2,253",-69.77%,"504,303","14,664","3,312,395"
12,日本,日日是好日,2019/02/01,天馬行空數位有限公司,ColorBird Inc.,13,"2,259",-30.85%,"485,940","7,428","1,620,225"
13,日本,億男,2019/02/01,傳影互動股份有限公司,"TOHO CO .,LTD",7,239,-73.06%,"52,825","1,891","422,286"
14,美國,穿在乳頭上的洞,2019/02/01,車庫娛樂股份有限公司,MFI SAS,4,70,-51.72%,"16,150",349,"79,798"
15,美國,馴龍高手3,2019/01/30,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,98,"88,981",-72.55%,"20,681,848","616,058","144,814,910"
16,美國,幸福綠皮書,2019/01/25,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"Storyteller Distribution Co., LLC pursuant to its arrangements with Participant Media, LLC",39,"17,846",-32.67%,"4,161,709","81,970","19,139,247"
17,美國,驚濤佈局,2019/01/25,華聯國際影音股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT.,38,"3,640",-69.27%,"887,188","67,144","15,662,485"
18,美國,真寵,2019/01/25,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,26,"3,955",-42.80%,"882,496","31,770","7,275,868"
19,美國,老人與槍,2019/01/25,采昌國際多媒體股份有限公司,GEM Entertainment Kft.,5,253,-67.14%,"53,020","5,455","1,203,836"
20,美國,辛德勒的名單(25週年數位經典版),2019/01/25,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,3,88,-73.41%,"22,080","4,149","1,053,074"
21,日本,妖怪手錶：光影之卷鬼王的復活,2019/01/25,華藝娛樂股份有限公司,Level 5 abby,7,18,-96.82%,"3,845","3,061","697,805"
