序號,國別地區,中文片名,上映日期,申請人,出品,上映日數,上映院數,銷售票數,周票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,日本,Fate/stay night：II.迷途之蝶,2019/03/09,曼迪傳播有限公司,Aniplex Inc.,5,17,"26,822","9,023.13%","6,700,357","27,116","6,770,917"
2,泰國,限時好友,2019/03/08,威視股份有限公司,GDH 599 COMPANY LIMITED,7,60,"20,130",19.49%,"4,619,406","43,392","10,020,838"
3,香港,滾滾紅塵(數位修復版),2019/03/08,能率影業股份有限公司,湯臣(香港)電影有限公司,7,24,"5,541",1.76%,"1,209,297","10,986","2,432,066"
4,中華民國,乳‧房,2019/03/08,可樂藝術文創股份有限公司,吳美良##謝志文##廖琬玲##廖千秀,7,22,"2,042",-23.83%,"452,964","4,835","1,076,718"
5,美國,RBG：不恐龍大法官,2019/03/08,亮點國際影業有限公司,Magnolia Pictures LLC,7,12,"1,805",25.52%,"385,355","3,310","707,988"
6,美國,逆光天后,2019/03/08,傳影互動股份有限公司,FILM & TV HOUSE LIMITED,7,21,"1,169",-22.58%,"264,099","2,679","624,573"
7,德國,無主之作,2019/03/08,車庫娛樂股份有限公司,BETA CINEMA GMBH,7,15,"1,156",9.78%,"249,065","2,355","510,568"
8,法國,三小一家人,2019/03/08,海鵬影業有限公司,PATHE FILMS S.A.S.,7,13,856,-4.99%,"174,555","1,757","376,144"
9,日本,來自深淵劇場版總集篇後編：流浪之黄昏,2019/03/08,向洋影業有限公司,株式會社KADOKAWA,7,8,544,-41.44%,"128,686","1,473","352,880"
10,日本,小資女孩奮鬥記：遊樂園的奇蹟,2019/03/08,中影股份有限公司,AVEX PICTURES INC.,7,19,579,-13.45%,"118,655","1,248","262,114"
11,美國,末日孤行,2019/03/08,暗光鳥有限公司,VERTICAL ENTERTAINMENT,7,4,160,24.03%,"34,910",289,"62,795"
12,美國,驚奇隊長,2019/03/06,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",7,97,"482,006",-39.00%,"114,457,031","1,272,201","304,379,996"
13,南韓,密陽,2019/02/28,華聯國際影音股份有限公司,CJ E&M CORPORATION,7,3,173,-58.51%,"37,120","1,104","233,453"
14,美國,密弑遊戲,2019/02/27,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,7,75,"11,870",-47.85%,"2,717,006","90,397","20,650,117"
15,美國,酷寒殺手,2019/02/27,海樂影業股份有限公司,STUDIOCANAL,7,87,"6,411",-68.69%,"1,436,854","107,353","24,216,788"
16,美國,為副不仁,2019/02/27,車庫娛樂股份有限公司,METRO-GOLDWYN-MAYER STUDIOS INC.,7,43,"1,787",-67.50%,"406,925","26,504","5,991,541"
17,美國,法律女王,2019/02/27,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"Storyteller Distribution Co., LLC pursuant to its arrangements with Participant Media, LLC",7,14,829,-62.66%,"181,889","7,079","1,613,422"
18,日本,溫泉屋小女將,2019/02/27,威秀影城股份有限公司,Nada Holdings Japan Corp.,7,10,114,-81.67%,"26,670","4,323","1,047,641"
19,香港,恭喜八婆,2019/02/27,華映娛樂股份有限公司,艾霹克影業有限公司,4,12,81,-88.14%,"17,310","3,786","810,460"
20,法國,非．虛構情事,2019/02/27,天馬行空數位有限公司,Playtime,3,2,51,-80.38%,"11,650",906,"196,078"
21,日本,吉娃娃羅曼死,2019/02/27,采昌國際多媒體股份有限公司,KADOKAWA CORPORATION,4,2,26,-84.24%,"5,895",742,"168,084"
22,日本,心的故鄉～灣生的山與海的故事,2019/02/27,春暉映像有限公司,Creative 21,3,1,4,-84.00%,810,102,"20,565"
23,加拿大,地獄自拍,2019/02/27,暗光鳥有限公司,INDUSTRYWORKS STUDIOS INC.,2,2,3,-95.45%,760,232,"51,750"
24,南韓,雞不可失,2019/02/22,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,CJ ENM CO. LTD,7,86,"81,711",-11.76%,"18,847,944","393,368","90,791,321"
25,日本,七龍珠‧超布羅利,2019/02/22,台北双喜電影發行股份有限公司,"東映株式會社##FOX INTERNATIONAL PRODUCTIONS, INC.",7,44,"1,888",-75.08%,"437,417","85,076","25,471,248"
26,日本,在地下城尋求邂逅是否搞錯了什麼─獵戶座之箭─,2019/02/22,天馬行空數位有限公司,Hakuhodo DY music & pictures Inc.,7,18,733,-52.86%,"175,535","21,206","5,204,719"
27,美國,梵谷：在永恆之門,2019/02/22,車庫娛樂股份有限公司,"WALK HOME PRODUCTIONS, LLC",7,6,407,-63.60%,"88,070","11,062","2,471,389"
28,加拿大,嬰魂不散,2019/02/22,海樂影業股份有限公司,SAVAGE PRODUCTION LTD,7,19,288,-82.55%,"63,755","27,180","6,256,290"
29,比利時,芭蕾少女夢,2019/02/22,鏡象電影製作有限公司,The Match Factory GmbH,4,1,53,-77.73%,"11,690","2,709","582,325"
30,日本,來自深淵劇場版總集篇前編：啟程的黎明,2019/02/22,向洋影業有限公司,株式會社KADOKAWA,4,1,22,-81.20%,"5,090","2,031","489,676"
