序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,周票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,日本,電影刀劍亂舞,2019/04/19,天馬行空數位有限公司,Marvelous Inc.,23,"5,395",1.73%,"1,310,081","10,698","2,601,136"
2,香港,淪落人,2019/04/19,財團法人中華民國電影事業發展基金會,Golden Scene Company Limited,23,"4,052",-15.81%,"884,461","8,865","1,965,035"
3,美國,牛津解密,2019/04/19,采昌國際多媒體股份有限公司,Freeway Entertainment Kft.,33,"3,280",-40.01%,"726,346","8,748","1,997,767"
4,日本,原本以為只是手機掉了,2019/04/19,車庫娛樂股份有限公司,"TOKYO BROADCASTING SYSTEM TELEVISION, INC.",32,"2,607",-43.55%,"579,626","7,225","1,633,424"
5,美國,魔力女聲,2019/04/19,威視股份有限公司,ME TEEN SPIRIT LIMITED,32,"1,897",-55.20%,"437,025","6,131","1,433,180"
6,義大利,上流世界,2019/04/19,海鵬影業有限公司,PATHE FILMS S.A.S.,12,"1,241",-7.18%,"267,670","2,578","564,592"
7,日本,就是要妳愛上我,2019/04/19,可樂藝術文創股份有限公司,"TOEI Company, LTD",12,292,-45.83%,"65,425",831,"181,581"
8,法國,失控班!,2019/04/19,亮點國際影業有限公司,Celluloid Dreams SAS,12,285,-61.85%,"62,275","1,032","229,214"
9,美國,噬魂實驗,2019/04/19,暗光鳥有限公司,"OCTANE ENTERTAINMENT, INC.",6,134,-11.26%,"29,855",285,"64,660"
10,塞爾維亞,愛上太空女神,2019/04/19,原創娛樂股份有限公司,"Arclight Films International, PTY., LTD.",6,132,-14.84%,"24,050",287,"57,643"
11,義大利,希特勒對畢卡索：被奪取的名畫,2019/04/19,車庫娛樂股份有限公司,NEXO DIGITAL S.R.L.,5,90,13.92%,"18,970",169,"35,693"
12,美國,哭泣的女人,2019/04/17,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,94,"37,023",-43.53%,"8,592,592","102,584","23,985,423"
13,法國,蒙特梭利小教室,2019/04/13,佳映娛樂國際股份有限公司,Wide House,1,90,69.81%,"18,000",334,"70,040"
14,法國,女王的柯基,2019/04/12,傳影互動股份有限公司,CHARADES SAS,66,"14,629",-62.07%,"3,372,004","83,969","19,310,145"
15,美國,禁入墳場,2019/04/12,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,91,"9,080",-75.02%,"2,081,506","88,945","20,427,326"
16,中華民國,我們的青春，在台灣,2019/04/12,七日印象電影有限公司,七日印象電影有限公司,17,"2,034",-54.03%,"456,258","11,444","2,566,879"
17,日本,十二個想死的少年,2019/04/12,中影股份有限公司,NIPPON TELEVISION NETWORK CORPORATION,47,"1,781",-75.25%,"397,465","17,136","3,927,199"
