序號,國別地區,中文片名,上映日期,發行,出品,上映院數,銷售票數,周票數變動率,銷售金額,累計票數,累計金額
1,美國,電流大戰,2019/07/19,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Lantern Entertainment LLC,77,"38,818",5.85%,"8,913,321","75,490","17,394,699"
2,中華民國,灼人秘密,2019/07/19,岸上影像有限公司,岸上影像有限公司##禾豐九路娛樂有限公司##爵士電影製作公司 JAZZY PICTURES (M) SDN. BHD.,49,"12,733",11.84%,"2,940,589","24,118","5,610,856"
3,日本,王者天下,2019/07/19,傳影互動股份有限公司,Columbia Pictures Industries Inc,33,"8,287",-14.12%,"1,910,517","18,980","4,384,552"
4,日本,城市獵人劇場版 新宿Private Eyes,2019/07/19,木棉花國際股份有限公司,Aniplex Inc.,27,"2,914",-21.41%,"750,852","6,622","1,628,627"
5,荷蘭,首席指揮家,2019/07/19,海鵬影業有限公司,Incredible Film BV,11,"2,419",57.08%,"506,490","3,959","830,930"
6,南韓,真犯,2019/07/19,采昌國際多媒體股份有限公司,ATRIUM PRODUCTIONS KFT.,20,"1,445",-27.64%,"320,222","3,442","764,309"
7,法國,囧叔大翻身,2019/07/19,車庫娛樂股份有限公司,STUDIOCANAL,5,264,-7.04%,"56,610",548,"118,795"
8,英國,橫越生死線,2019/07/19,亮點國際影業有限公司,Independent Film Sales,7,109,-71.47%,"23,290",491,"103,360"
9,法國,震向性教育,2019/07/19,本萃電影有限公司,Film Factory Entertainment S. L.,5,106,-16.54%,"21,929",233,"49,588"
10,德國,頭號玩家,2019/07/19,暗光鳥有限公司,DEVILWORKS LIMITED,5,51,-22.73%,"11,015",117,"25,429"
11,美國,獅子王,2019/07/17,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",99,"389,303",-19.32%,"92,609,809","871,856","212,691,626"
12,香港,掃毒2 天地對決,2019/07/12,華映娛樂股份有限公司,寰宇娛樂有限公司##廣東昇格傳媒股份有限公司##銀都機構有限公司##映藝娛樂有限公司##太陽娛樂文化有限公司##北京合瑞影業文化有限公司,82,"28,081",-60.28%,"6,430,418","167,729","38,426,341"
13,美國,鱷魔,2019/07/12,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,92,"19,417",-62.46%,"4,428,587","119,636","27,263,885"
14,美國,仲夏魘,2019/07/12,車庫娛樂股份有限公司,"A24 INTERNATIONAL, LLC",13,"1,621",-61.90%,"360,104","9,856","2,210,085"
15,日本,海角上的兄妹,2019/07/12,光年映畫有限公司,"Asmik Ace, Inc",7,654,-49.14%,"145,305","2,853","631,905"
16,法國,安妮華達 最後一堂課,2019/07/12,天馬行空數位有限公司,MK2 FILMS,6,386,-65.84%,"84,475","2,294","490,830"
17,日本,爸媽死了，我卻不想哭,2019/07/12,佳映娛樂國際股份有限公司,NIKKATSU CORPORATION,2,276,-50.98%,"64,390","1,193","270,659"
18,英國,鏗鏘玫瑰,2019/07/12,采昌國際多媒體股份有限公司,FILM & TV HOUSE LIMITED,6,252,-79.90%,"52,600","2,812","600,926"
19,日本,名偵探柯南：紺青之拳,2019/07/10,向洋影業有限公司,株式会社トムス・エンタテインメント,81,"58,095",-49.55%,"13,501,341","400,164","92,339,522"
20,義大利,米開朗基羅：無盡之詩,2019/07/05,海鵬影業有限公司,TRUE COLOURS glorious S.r.l.,7,549,-61.82%,"114,580","6,731","1,393,141"
21,美國,蜘蛛人：離家日,2019/07/03,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,100,"91,162",-52.50%,"21,320,478","1,519,438","363,222,861"
22,南韓,寄生上流,2019/06/28,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,CJ ENM CO. LTD,54,"82,276",-29.78%,"19,361,900","491,520","115,470,269"
23,中華民國,如常,2019/06/28,星泰國際娛樂股份有限公司,財團法人中華民國佛教慈濟慈善事業基金會,10,"1,823",-43.98%,"378,955","38,671","8,358,113"
24,美國,靠譜歌王,2019/06/28,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,5,232,-80.47%,"56,355","44,895","10,387,877"
25,日本,聖☆哥傳: 第Ⅱ紀,2019/06/28,香港商甲上娛樂有限公司台灣分公司,"SDP,INC.",6,31,-27.91%,"7,387","1,329","316,565"
26,美國,安娜貝爾回家囉,2019/06/25,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,50,"2,766",-75.74%,"645,253","357,351","83,664,651"
27,美國,恰吉,2019/06/21,車庫娛樂股份有限公司,METRO-GOLDWYN-MAYER STUDIOS INC.,4,109,-78.59%,"23,130","72,462","16,378,829"
28,美國,玩具總動員 4,2019/06/20,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",94,"41,062",-42.57%,"9,551,011","1,287,826","300,219,793"
29,美國,安娜,2019/06/19,海樂影業股份有限公司,LIONS GATE INTERNATIONAL (UK) LIMITED,10,422,-73.77%,"100,170","146,978","33,803,590"
30,美國,帕爾曼的音樂遍歷,2019/06/14,翻面映畫有限公司,"ROCO Films International, LLC",5,168,-80.65%,"40,605","13,028","2,999,098"
31,香港,追龍II：賊王,2019/06/12,華映娛樂股份有限公司,霍爾果斯環星影視傳媒有限公司##上海杠杠影視文化有限公司##銀都機構有限公司##耳東文化（北京）有限公司##太陽娛樂文化有限公司##海墨文化傳媒股份有限公司##萬達影視傳媒有限公司##上海復逸文化傳播有限公司##電視廣播有限公司##上海新文化影業有限公司 ##阿里巴巴影業（北京）有限公司##北京博納影業集團有限公司##星王朝有限公司##浙江博納影視製作有限公司##博納影視娛樂有限公司,7,889,"1,207.35%","70,340","51,647","11,540,403"
32,美國,寵物當家2,2019/06/06,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,5,180,-80.56%,"41,695","246,880","57,163,174"
1,中華民國,出發,2019/05/31,牽猴子整合行銷股份有限公司,相知國際股份有限公司,9,"1,353",-0.44%,"311,268","68,064","15,170,191"
34,美國,紅色密令,2019/05/31,采昌國際多媒體股份有限公司,EMBANKMENT FILMS LIMITED,3,196,11.36%,"28,640","5,613","1,151,595"
35,日本,這條路上: 百年童謠的誕生,2019/05/31,亮點國際影業有限公司,CREi Inc,3,160,32.23%,"23,050","2,113","412,196"
36,美國,哥吉拉II怪獸之王,2019/05/29,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,7,112,-68.36%,"31,665","1,061,284","258,874,083"
2,中華民國,五月天 人生無限公司,2019/05/24,相信音樂國際股份有限公司,相信音樂國際股份有限公司##安樂電影公司(聯合出品),2,572,483.67%,"168,559","158,986","53,806,839"
38,英國,選情尬翻天,2019/05/24,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Lions Gate International(UK), Limited.",7,"1,326",51.03%,"119,085","13,600","2,761,333"
39,法國,城市獵人,2019/05/24,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,SOFINERGIE CAPAC,5,814,208.33%,"55,900","19,893","4,396,569"
40,美國,阿拉丁,2019/05/22,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",44,"6,868",-43.67%,"1,658,662","1,228,870","287,643,238"
41,美國,極惡人魔,2019/05/17,車庫娛樂股份有限公司,"MELVILLE FILMS, INC.",2,179,25.17%,"26,860","3,536","795,652"
42,美國,醜娃娃大冒險,2019/05/17,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX Productions, LLC",2,265,-34.24%,"14,730","6,873","1,375,780"
43,香港,P風暴,2019/05/10,華映娛樂股份有限公司,東方影業出品有限公司,3,408,-44.79%,"23,785","12,979","2,539,150"
44,美國,名偵探皮卡丘,2019/05/09,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,8,"2,582",35.47%,"169,330","677,423","160,162,991"
45,美國,復仇者聯盟:終局之戰,2019/04/24,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",11,"1,282",-46.67%,"351,075","3,477,540","908,847,326"
46,美國,哭泣的女人,2019/04/17,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,5,309,-50.64%,"23,170","135,585","31,254,824"
47,法國,女王的柯基,2019/04/12,傳影互動股份有限公司,CHARADES SAS,3,728,-6.06%,"40,070","103,133","23,103,228"
48,美國,我和我的摔角家庭,2019/04/04,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,10,"1,515",-29.24%,"133,990","52,468","11,192,067"
49,美國,沙贊！,2019/04/03,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,2,137,-51.25%,"10,310","556,460","130,867,752"
50,美國,小飛象,2019/03/29,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",10,"2,304",-11.08%,"198,715","378,032","86,171,683"
51,美國,失控危城,2019/03/29,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Arclight Films International, Pty., Ltd.",3,568,-65.15%,"39,245","148,301","33,220,188"
52,美國,驚奇隊長,2019/03/06,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",4,693,-35.95%,"42,690","1,698,605","404,345,566"
