序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,美國,星際救援,2019/09/20,台北双喜電影發行股份有限公司,BONA FILM INVESTMENT COMPANY,93,"52,999",-14.59%,"12,528,170","115,054","27,557,311"
2,美國,唐頓莊園,2019/09/20,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,14,"4,240",36.95%,"988,852","7,336","1,733,554"
3,日本,殺手餐廳,2019/09/20,天馬行空數位有限公司,Nippon Television Network Corporation,23,"2,002",-19.40%,"455,664","4,486","1,068,850"
4,日本,我變笨了，請多多指教。,2019/09/20,車庫娛樂股份有限公司,PONY CANYON INC.,16,"1,187",66.71%,"252,900","1,899","408,297"
5,泰國,妒火的詛咒-娜迦,2019/09/20,鴻聯國際開發股份有限公司,JKN Global Media PLC.,21,819,-23.81%,"174,400","1,894","410,278"
6,日本,淺草的幸福吐司,2019/09/20,海鵬影業有限公司,Spirits Project Inc.,8,418,16.76%,"84,795",776,"158,473"
7,中華民國,我親愛的父親,2019/09/20,車庫娛樂股份有限公司,財團法人天主教失智老人社會福利基金會,10,391,928.95%,"84,576",429,"93,007"
8,中華民國,與失智共舞,2019/09/20,車庫娛樂股份有限公司,財團法人天主教失智老人社會福利基金會,1,255,2450.00%,"54,750",265,"56,795"
9,義大利,魔力抓狂夜,2019/09/20,亮點國際影業有限公司,BAC Films Distribution,7,214,-42.63%,"42,695",587,"120,025"
10,南韓,忘了浪漫，記得你,2019/09/20,車庫娛樂股份有限公司,"FINECUT CO., LTD.",4,83,-19.42%,"18,420",186,"42,308"
11,美國,窗中的女巫,2019/09/20,暗光鳥有限公司,FILM SEEKERS LIMITED,4,58,-13.43%,"13,175",125,"27,995"
12,日本,戀上小鮮肉,2019/09/20,英屬維京群島商映畫聯合有限公司台灣分公司,HAPPINET CORPORATION,2,9,-40.00%,"1,985",24,"5,285"
13,中華民國,返校,2019/09/20,影一製作所股份有限公司,影一製作所股份有限公司##遊戲橘子數位科技股份有限公司##英屬維京群島商敦宜股份有限公司台灣分公司##樂到家國際娛樂股份有限公司##一條龍虎豹國際娛樂有限公司##財團法人臺中市影視發展基金會##高雄市電影館##美商華納兄弟（遠東）股份有限公司台灣分公司,101,"408,169",42.39%,"95,401,404","695,594","162,816,119"
