序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
1,挪威,奪命隧道,2020/05/15,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Trustnordisk APS,69,"10,486",10.38%,"2,404,165","19,986","4,584,317"
2,南韓,靈異405號房,2020/05/15,車庫娛樂股份有限公司,CONTENTS PANDA,52,"6,949",6.73%,"1,654,448","13,460","3,213,644"
3,泰國,奇蹟救援,2020/05/15,車庫娛樂股份有限公司,E-STARS FILMS LTD.,49,"4,741",7.63%,"1,113,733","9,146","2,141,644"
4,英國,海邊走走,2020/05/15,天馬行空數位有限公司,PROTAGONIST PICTURES LIMITED,17,"1,226",20.43%,"268,589","2,244","483,530"
5,南韓,喪屍來鬥陣,2020/05/15,水元素文化傳媒有限公司,Studio Bonanza Inc.,29,546,-31.49%,"112,953","1,343","281,271"
6,法國,誰殺了唐吉訶德,2020/05/15,車庫娛樂股份有限公司,KINOLOGY,21,443,9.38%,"98,906",848,"186,839"
7,俄羅斯,黑暗戰域,2020/05/08,車庫娛樂股份有限公司,CENTRAL PARTNERSHIP SALES HOUSE,52,"1,408",-71.36%,"323,088","11,651","2,691,290"
8,日本,劇場版 白箱,2020/05/08,車庫娛樂股份有限公司,HAKUHODO DY MUSIC & PICTURES INC.,21,"1,242",-61.44%,"314,107","7,391","1,849,355"
9,香港,金都,2020/05/08,采昌國際多媒體股份有限公司,金都電影製作有限公司My Prince Edward Film Production Limited,28,651,-59.69%,"148,506","3,434","756,551"
10,法國,陪你玩最大,2020/05/08,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Pathé Films S.A.S,30,342,-71.83%,"78,749","2,581","576,556"
11,美國,觸不到的愛,2020/05/08,威視股份有限公司,LOTUS MEDIA LLC,12,209,-64.52%,"51,845","1,309","324,070"
12,日本,初戀,2020/05/08,車庫娛樂股份有限公司,"TOEI COMPANY, LTD.",24,203,-79.24%,"49,796","2,012","457,307"
13,中華民國,老娘就要這麼活,2020/05/08,春暉映像有限公司,萊思捷有限公司,6,157,-50.78%,"34,245",812,"181,381"
14,中國大陸,素人特工,2020/05/08,馬棋朵數位影像製作有限公司,"新麗傳媒集團有限公司 	 ##新麗國際傳媒有限公司 	 ##上海淘票票影視文化有限公司 	 ##華夏電影發行有限責任公司 	 ##英皇影業有限公司 	 ##原生映画有限公司 	 ##萬達影視傳媒有限公司 	 ##優酷電影有限公司 	 ##北京集智映像影視文化有限公司 	 ##引力影視投資有限公司 	 ##引力影視國際有限公司",2,74,-44.78%,"16,495",407,"90,995"
15,德國,閉嘴！彈琴,2020/05/08,前景娛樂有限公司,CHARADES,7,47,-78.83%,"10,825",418,"92,331"
16,美國,壞教育,2020/04/30,香港商甲上娛樂有限公司台灣分公司,"Jellyfish Bloom International, LLC##Sight Unseen Pictures LLC",61,"3,165",-50.15%,"756,097","28,446","6,698,517"
17,泰國,見鬼的戀愛季節,2020/04/30,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Sahamongkolfilm International Co.,Ltd.",58,"3,243",-43.63%,"725,632","23,173","5,200,907"
18,美國,鎖命佈局,2020/04/30,采昌國際多媒體股份有限公司,Atrium Productions Kft.,66,"2,036",-54.00%,"476,722","19,072","4,431,860"
19,德國,抽屍剝繭,2020/04/30,海鵬影業有限公司,GLOBAL SCREEN GMBH,48,"1,645",-45.87%,"359,991","12,641","2,801,687"
20,南韓,流感,2020/04/30,車庫娛樂股份有限公司,RELAY MOTION KFT.,22,626,-69.40%,"145,328","9,790","2,258,097"
21,巴拉圭,現屍報,2020/04/30,可樂藝術文創股份有限公司,ATRIUM Productions Kft.,27,308,-69.71%,"67,445","5,417","1,202,031"
22,南韓,正在相愛嗎?,2020/04/30,海樂影業股份有限公司,"Lian Contents Co., Ltd.",8,34,-77.18%,"6,815","1,467","306,017"
23,義大利,如果我擁抱你請不要害怕,2020/04/30,聯影企業股份有限公司,Rai Com S.p.A.,4,27,-78.57%,"5,145",829,"175,634"
24,英國,監禁100呎,2020/04/30,車庫娛樂股份有限公司,ALTITUDE FILM SALES LIMITED,6,19,-91.24%,"4,555","1,942","441,763"
25,法國,熊熊大作戰,2020/04/30,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Pathé Films S.A.S,4,18,-78.31%,"3,980",719,"164,103"
26,美國,帕華洛帝：世紀男高音,2020/04/30,車庫娛樂股份有限公司,"POLYGRAM ENTERTAINMENT, LLC",2,10,-91.67%,"2,115",717,"145,567"
27,義大利,聽教父的話,2020/04/30,東昊影業有限公司,TRUE COLOURS GLORIOUS FILMS srl,1,7,-82.05%,"1,490",328,"66,340"
28,英國,仲夏夜之夢,2020/04/26,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,1,41,0.00%,"29,640",111,"76,920"
29,日本,數碼寶貝 LAST EVOLUTION 絆,2020/04/24,曼迪傳播有限公司,"TOEI ANIMATION CO., LTD.",16,"12,715",-24.22%,"3,263,346","81,178","20,675,343"
30,法國,美好拾光公司,2020/04/24,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Pathe Films S.A.S.,16,955,-43.66%,"225,859","9,046","2,093,533"
31,印尼,蜈蚣降,2020/04/24,車庫娛樂股份有限公司,RELAY MOTION KFT.,22,582,-63.78%,"138,320","14,645","3,418,470"
32,西班牙,搭火車旅行好吃驚,2020/04/24,天馬行空數位有限公司,SEVILLE PICTURES INC.,4,139,-58.75%,"30,075","2,672","585,810"
33,日本,假面騎士－ 令和時代的開端,2020/04/24,木棉花國際股份有限公司,"TOEI COMPANY, LTD.",8,69,-74.91%,"15,895","4,320","1,045,401"
34,法國,吞噬,2020/04/24,本萃電影有限公司,CHARADES,2,57,-48.18%,"12,480","1,973","454,493"
35,西班牙,靈異孤兒院,2020/04/24,車庫娛樂股份有限公司,(法國)WILD BUNCH,4,34,-73.23%,"7,525","1,695","398,907"
36,南韓,長沙里之戰：被遺忘的英雄,2020/04/24,車庫娛樂股份有限公司,"FINECUT CO., LTD.",4,24,-90.00%,"5,940","6,270","1,446,521"
37,德國,無聲革命,2020/04/24,捷傑有限公司,STUDIOCANAL,2,24,-67.57%,"5,635","1,174","254,909"
38,法國,緣來想見妳,2020/04/24,采昌國際多媒體股份有限公司,GAUMONT S.A.,5,17,-68.52%,"3,650","2,117","462,089"
39,匈牙利,日暮,2020/04/24,前景娛樂有限公司,Playtime,2,4,-95.06%,880,974,"200,320"
40,馬來西亞,這一刻，想見你,2020/04/24,滿滿額娛樂股份有限公司,"mm2 Entertainment##邁進國際投資控股有限公司Max Capital Management Holding Ltd.##硯石(廈門)文化傳媒有限公司 Inkstone (Xiamen) Culture Media Co., Ltd.",1,2,-81.82%,660,"1,102","262,926"
41,英國,一報還一報,2020/04/20,威秀影城股份有限公司,Trafalgar Releasing Limited,1,4,-88.89%,"2,840",58,"39,480"
42,日本,知道天空有多藍的人啊,2020/04/17,車庫娛樂股份有限公司,ANIPLEX INC.,16,461,-43.30%,"115,713","10,898","2,630,621"
